Nome: PORTO VELHO
Codigo Estacao: A925
Latitude: -8.7936111
Longitude: -63.84583333
Altitude: 86.7
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;null;null;null;
2015-02-28;16;null;25,6;
2015-03-31;28;403,4;25,8;
2015-04-30;23;296,8;26,2;
2015-05-31;25;207,8;25,9;
2015-06-30;5;null;25,9;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;2;null;null;
2015-10-31;16;null;27,8;
2015-11-30;14;133,6;27,8;
2015-12-31;17;281,4;26,9;
2016-01-31;16;null;27,1;
2016-02-29;13;null;27,4;
2016-03-31;14;null;26,8;
2016-04-30;6;null;27;
2016-05-31;11;null;26;
2016-06-30;12;38,2;25,1;
2016-07-31;1;null;null;
2016-08-31;null;null;null;
2016-09-30;10;128,4;26,4;
2016-10-31;4;null;null;
2016-11-30;11;null;27,2;
2016-12-31;13;null;26;
2017-01-31;24;330,2;25,8;
2017-02-28;16;null;25,8;
2017-03-31;23;333,2;26;
2017-04-30;9;null;null;
2017-05-31;1;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;3;null;null;
2017-09-30;3;null;null;
2017-10-31;2;null;null;
2017-11-30;null;null;null;
2017-12-31;21;null;25,8;
2018-01-31;28;449,2;25,9;
2018-02-28;26;364,4;25,7;
2018-03-31;24;259,4;26,1;
2018-04-30;21;278;26;
2018-05-31;9;73,4;26,1;
2018-06-30;1;null;null;
2018-07-31;null;null;null;
2018-08-31;3;null;null;
2018-09-30;1;null;null;
2018-10-31;19;116;27;
2018-11-30;20;160,4;26,8;
2018-12-31;26;373,4;26;
2019-01-31;25;315,8;25,8;
2019-02-28;25;379,4;25,9;
2019-03-31;25;289,6;26,4;
2019-04-30;24;168,2;26,4;
2019-05-31;15;78,8;26,3;
2019-06-30;8;20;26,4;
2019-07-31;0;0;26,1;
2019-08-31;1;,2;26,6;
2019-09-30;1;null;28,8;
2019-10-31;null;null;null;
2019-11-30;null;null;null;
2019-12-31;null;null;null;
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;1;null;null;
2020-07-31;6;75;26;
2020-08-31;2;19,6;26,4;
2020-09-30;11;133;27,6;
2020-10-31;13;null;27,3;
2020-11-30;17;399,4;27;
2020-12-31;25;351,8;26,2;
2021-01-31;22;null;25,7;
2021-02-28;23;321;25,6;
2021-03-31;14;null;null;
2021-04-30;null;null;null;
2021-05-31;6;null;25,8;
2021-06-30;6;12,6;24,7;
2021-07-31;null;null;25;
2021-08-31;null;null;null;
2021-09-30;6;null;27,5;
2021-10-31;16;null;26,9;
2021-11-30;24;289,4;26,1;
2021-12-31;15;null;26,5;
2022-01-31;25;238;26,1;
2022-02-28;24;625,6;25,5;
2022-03-31;26;383,8;25,8;
2022-04-30;16;211,2;26,3;
2022-05-31;7;58,8;25,6;
2022-06-30;2;null;null;
2022-07-31;1;null;26,7;
2022-08-31;7;38,6;26,6;
2022-09-30;7;62,6;28,1;
2022-10-31;19;269;27;
2022-11-30;11;137;26,5;
2022-12-31;21;218,2;26,1;
2023-01-31;2;null;null;
2023-02-28;null;null;null;
2023-03-31;1;null;null;
2023-04-30;2;null;null;
2023-05-31;3;null;null;
2023-06-30;2;null;null;
2023-07-31;1;null;null;
2023-08-31;1;null;null;
2023-09-30;1;null;null;
2023-10-31;1;null;null;
2023-11-30;5;null;null;
2023-12-31;19;null;27,1;
2024-01-31;26;348;26,8;
2024-02-29;21;376,4;26,8;
2024-03-31;21;250,4;27,3;
2024-04-30;20;341;27,2;
2024-05-31;10;75,2;26;
2024-06-30;1;,2;26,8;
2024-07-31;1;3,4;26,1;
2024-08-31;4;16,6;27,5;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

