Nome: ITAUBAL
Codigo Estacao: A251
Latitude: 0.56777777
Longitude: -50.8236111
Altitude: 21
Situacao: Pane
Data Inicial: 2017-08-23
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-08-31;null;null;null;
2017-09-30;7;22,8;27,9;
2017-10-31;2;2,8;28,1;
2017-11-30;2;1;28,2;
2017-12-31;18;162;26,8;
2018-01-31;28;304,4;25,7;
2018-02-28;6;null;null;
2018-03-31;null;null;null;
2018-04-30;null;null;null;
2018-05-31;null;null;null;
2018-06-30;6;null;null;
2018-07-31;24;219,8;26,3;
2018-08-31;4;7;27;
2018-09-30;3;21,8;27,8;
2018-10-31;3;27;28,1;
2018-11-30;6;80,8;28,2;
2018-12-31;28;371,6;25,4;
2019-01-31;26;256,2;25,7;
2019-02-28;24;null;25,7;
2019-03-31;null;null;null;
2019-04-30;null;null;null;
2019-05-31;null;null;null;
2019-06-30;null;null;null;
2019-07-31;null;null;null;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;null;null;null;
2019-11-30;null;null;null;
2019-12-31;null;null;null;
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;6;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;null;null;null;
2023-11-30;2;null;null;
2023-12-31;14;76;28,1;
2024-01-31;25;357,8;26,7;
2024-02-29;25;216,2;26,9;
2024-03-31;24;407,6;26,8;
2024-04-30;24;289,8;27;
2024-05-31;28;448,2;26,8;
2024-06-30;23;240;26,6;
2024-07-31;6;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

